Caller City,Number of Calls,Lat,Long
Albert Lea,1,43.647801,-93.368655
Austin,1,43.66663,-92.974637
Blaine,2,45.160799,-93.234949
Bloomington,2,44.840798,-93.29828
Braham,1,45.722222,-93.17
Chanhassen,2,44.861965,-93.53231
Coon Rapids,1,45.173239,-93.303006
Crystal,2,45.032742,-93.360229
Duluth,1,46.786672,-92.100485
Eagan,3,44.804132,-93.166886
East Grand Forks,1,47.93,-97.015904
Elk River,1,45.317222,-93.581111
Farmington,2,44.640243,-93.14355
Grand Marais,1,47.750447,-90.334273
Inner Grove Heights,2,44.848022,-93.042715
Mankato,1,44.163578,-93.9994
Minneapolis,37,44.983334,-93.26667
Morehead,1,46.873765,-96.767804
New Richland,1,43.894405,-93.491884
Preston,1,43.670242,-92.083216
Richville,1,46.506855,-95.626071
Rochester,9,44.0234,-92.46295
Rogers,1,45.187801,-93.552521
Saint Cloud,3,45.557945,-94.16324
Saint Michael,1,45.209964,-59.598809
Saint Paul,22,,
Savage,1,,
Shakopee,1,,
Spring Lake Park,1,,
Stillwater,1,,
West Saint Paul,1,,
Not Specified,27,,